Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D69,SK6812MINI-E,YS-SK6812MINI-E,186.100012,-148.493711,330.0,bottom
D70,SK6812MINI-E,YS-SK6812MINI-E,165.900002,-148.493711,30.0,bottom
D71,SK6812MINI-E,YS-SK6812MINI-E,155.799998,-131.000005,90.0,bottom
D72,SK6812MINI-E,YS-SK6812MINI-E,165.900015,-113.506292,150.0,bottom
D73,SK6812MINI-E,YS-SK6812MINI-E,56.302602,-47.208184,200.0,bottom
D74,SK6812MINI-E,YS-SK6812MINI-E,49.787116,-65.109335,20.0,bottom
D75,SK6812MINI-E,YS-SK6812MINI-E,43.271635,-83.010484,200.0,bottom
D76,SK6812MINI-E,YS-SK6812MINI-E,36.756164,-100.911641,20.0,bottom
D77,SK6812MINI-E,YS-SK6812MINI-E,30.240666,-118.812773,200.0,bottom
D78,SK6812MINI-E,YS-SK6812MINI-E,75.018183,-51.48603,200.0,bottom
D79,SK6812MINI-E,YS-SK6812MINI-E,68.502697,-69.387162,20.0,bottom
D80,SK6812MINI-E,YS-SK6812MINI-E,61.987232,-87.288314,200.0,bottom
D81,SK6812MINI-E,YS-SK6812MINI-E,55.471709,-105.189464,20.0,bottom
D82,SK6812MINI-E,YS-SK6812MINI-E,48.956233,-123.090603,200.0,bottom
D83,SK6812MINI-E,YS-SK6812MINI-E,94.548192,-53.526227,200.0,bottom
D84,SK6812MINI-E,YS-SK6812MINI-E,88.032699,-71.427363,20.0,bottom
D85,SK6812MINI-E,YS-SK6812MINI-E,81.517227,-89.32851,200.0,bottom
D86,SK6812MINI-E,YS-SK6812MINI-E,75.001733,-107.229666,20.0,bottom
D87,SK6812MINI-E,YS-SK6812MINI-E,68.486247,-125.130801,200.0,bottom
D88,SK6812MINI-E,YS-SK6812MINI-E,113.806736,-56.312292,200.0,bottom
D89,SK6812MINI-E,YS-SK6812MINI-E,107.291247,-74.213439,20.0,bottom
D90,SK6812MINI-E,YS-SK6812MINI-E,100.775756,-92.114598,200.0,bottom
D91,SK6812MINI-E,YS-SK6812MINI-E,94.260286,-110.015723,20.0,bottom
D92,SK6812MINI-E,YS-SK6812MINI-E,96.692637,-140.46522,200.0,bottom
D93,SK6812MINI-E,YS-SK6812MINI-E,130.350478,-66.557182,200.0,bottom
D94,SK6812MINI-E,YS-SK6812MINI-E,123.834988,-84.458324,20.0,bottom
D95,SK6812MINI-E,YS-SK6812MINI-E,117.31952,-102.359514,200.0,bottom
D96,SK6812MINI-E,YS-SK6812MINI-E,110.804041,-120.260628,20.0,bottom
D97,SK6812MINI-E,YS-SK6812MINI-E,115.126235,-150.054694,215.0,bottom
D98,SK6812MINI-E,YS-SK6812MINI-E,147.16569,-76.056209,200.0,bottom
D99,SK6812MINI-E,YS-SK6812MINI-E,140.65023,-93.957338,20.0,bottom
D100,SK6812MINI-E,YS-SK6812MINI-E,134.13473,-111.858493,200.0,bottom
D101,SK6812MINI-E,YS-SK6812MINI-E,127.61925,-129.759637,20.0,bottom
D102,SK6812MINI-E,YS-SK6812MINI-E,130.357553,-164.054606,230.0,bottom
D103,SK6812MINI-E,YS-SK6812MINI-E,153.41061,-178.678155,195.0,bottom
D104,SK6812MINI-E,YS-SK6812MINI-E,175.999788,-181.659405,180.0,bottom
D105,SK6812MINI-E,YS-SK6812MINI-E,198.614155,-178.671519,165.0,bottom
D106,SK6812MINI-E,YS-SK6812MINI-E,204.834319,-76.056211,160.0,bottom
D107,SK6812MINI-E,YS-SK6812MINI-E,211.349792,-93.957355,340.0,bottom
D108,SK6812MINI-E,YS-SK6812MINI-E,217.865262,-111.858499,160.0,bottom
D109,SK6812MINI-E,YS-SK6812MINI-E,224.380752,-129.759642,340.0,bottom
D110,SK6812MINI-E,YS-SK6812MINI-E,221.637566,-164.053683,130.0,bottom
D111,SK6812MINI-E,YS-SK6812MINI-E,221.649529,-66.557204,160.0,bottom
D112,SK6812MINI-E,YS-SK6812MINI-E,228.165025,-84.458352,340.0,bottom
D113,SK6812MINI-E,YS-SK6812MINI-E,234.680505,-102.359488,160.0,bottom
D114,SK6812MINI-E,YS-SK6812MINI-E,241.195978,-120.260645,340.0,bottom
D115,SK6812MINI-E,YS-SK6812MINI-E,236.857935,-150.048939,145.0,bottom
D116,SK6812MINI-E,YS-SK6812MINI-E,238.19327,-56.312304,160.0,bottom
D117,SK6812MINI-E,YS-SK6812MINI-E,244.708763,-74.213445,340.0,bottom
D118,SK6812MINI-E,YS-SK6812MINI-E,251.224255,-92.114605,160.0,bottom
D119,SK6812MINI-E,YS-SK6812MINI-E,257.739728,-110.015727,340.0,bottom
D120,SK6812MINI-E,YS-SK6812MINI-E,255.307392,-140.465223,160.0,bottom
D121,SK6812MINI-E,YS-SK6812MINI-E,257.451822,-53.526239,160.0,bottom
D122,SK6812MINI-E,YS-SK6812MINI-E,263.967299,-71.427381,340.0,bottom
D123,SK6812MINI-E,YS-SK6812MINI-E,270.482798,-89.328518,160.0,bottom
D124,SK6812MINI-E,YS-SK6812MINI-E,276.998277,-107.229661,340.0,bottom
D125,SK6812MINI-E,YS-SK6812MINI-E,283.51376,-125.130813,160.0,bottom
D126,SK6812MINI-E,YS-SK6812MINI-E,276.98185,-51.486032,160.0,bottom
D127,SK6812MINI-E,YS-SK6812MINI-E,283.497321,-69.387162,340.0,bottom
D128,SK6812MINI-E,YS-SK6812MINI-E,290.012813,-87.288327,160.0,bottom
D129,SK6812MINI-E,YS-SK6812MINI-E,296.528292,-105.189471,340.0,bottom
D130,SK6812MINI-E,YS-SK6812MINI-E,303.043781,-123.090627,160.0,bottom
D131,SK6812MINI-E,YS-SK6812MINI-E,295.697409,-47.208186,160.0,bottom
D132,SK6812MINI-E,YS-SK6812MINI-E,302.212898,-65.109339,340.0,bottom
D133,SK6812MINI-E,YS-SK6812MINI-E,308.728375,-83.010471,160.0,bottom
D134,SK6812MINI-E,YS-SK6812MINI-E,315.243867,-100.911634,340.0,bottom
D135,SK6812MINI-E,YS-SK6812MINI-E,321.759347,-118.812767,160.0,bottom
F1,nSMD100,Fuse_1206_3216Metric,168.0,-29.899999,270.0,bottom
FB1,60R@100MHz,L_1206_3216Metric,176.0,-21.9,270.0,bottom
J1,SWD,PinHeader_1x04_P2.54mm_Vertical_SIlkless,175.899938,-63.600004,90.0,top
J2,USB_In,HRO-TYPE-C-31-M-12,176.0,-17.900007,180.0,top
J3,Trackpad,Hirose_FH12-12S-0.5SH_1x12-1MP_P0.50mm_Horizontal,176.000006,-116.599996,0.0,bottom
J4,OLED,OLED_1.5_SSD1315_128x128,175.999996,-42.19875,0.0,top
J5,OLED_PH,JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,154.500002,-42.200625,270.0,top
R1,10k,R_0402_1005Metric,178.599788,-97.359405,270.0,bottom
R2,10k,R_0402_1005Metric,177.099788,-96.759405,0.0,bottom
R3,10k,R_0402_1005Metric,174.899788,-96.759405,0.0,bottom
